Gemeente;Inwoners per km² land
Ommen;105
Het Hogeland;101
Midden-Drenthe;100
Westerwolde;96
Zeewolde;96
Borger-Odoorn;94
Aa en Hunze;93
Baarle-Nassau;93
Noord-Beveland;91
Texel;86
Sluis;83
Westerveld;71
Ameland;68
Rozendaal;63
Terschelling;57
Vlieland;31
Schiermonnikoog;23
